metric;timestamp;value;resource_kind;resource_id;consumer_kind;consumer_id;domain;__late_attributes
rapl_consumed_energy_J;2024-11-06T12:33:33.174162262Z;8.0211181640625;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:33.174162262Z;53.43511962890625;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:33.174162262Z;14.83203125;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:34.174163354Z;5.59588623046875;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:34.174163354Z;50.146240234375;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:34.174163354Z;12.0491943359375;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:35.174093623Z;6.3515625;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:35.174093623Z;51.238037109375;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:35.174093623Z;12.711181640625;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:36.174109494Z;7.47772216796875;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:36.174109494Z;52.4635009765625;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:36.174109494Z;13.87109375;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:37.174089983Z;7.23651123046875;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:37.174089983Z;52.301025390625;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:37.174089983Z;13.728271484375;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:38.17414135Z;21.72314453125;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:38.17414135Z;70.084716796875;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:38.17414135Z;28.9537353515625;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:39.174091445Z;31.0771484375;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:39.174091445Z;80.37603759765625;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:39.174091445Z;38.03985595703125;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:40.174076787Z;32.377685546875;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:40.174076787Z;81.7322998046875;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:40.174076787Z;39.25213623046875;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:41.174081199Z;32.1610107421875;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:41.174081199Z;82.046142578125;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:41.174081199Z;39.2418212890625;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:42.174088399Z;32.3369140625;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:42.174088399Z;82.47222900390625;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:42.174088399Z;39.3707275390625;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:43.174088681Z;32.717041015625;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:43.174088681Z;73.23223876953125;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:43.174088681Z;38.912353515625;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:44.174094264Z;32.4942626953125;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:44.174094264Z;66.32440185546875;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:44.174094264Z;38.7698974609375;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:45.174102683Z;32.26031494140625;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:45.174102683Z;64.91607666015625;local_machine;;local_machine;;platform;
rapl_consumed_energy_J;2024-11-06T12:33:45.174102683Z;38.45037841796875;cpu_package;0;local_machine;;package;
rapl_consumed_energy_J;2024-11-06T12:33:46.17411168Z;28.06304931640625;cpu_package;0;local_machine;;pp0;
rapl_consumed_energy_J;2024-11-06T12:33:46.17411168Z;59.1676025390625;local_machine;;local_machine;;platform;
